,All,Hard,Soft
"Total number of dependencies",895,813,82

"Dependencies for each module:",All,Hard,Soft
magento/module-authorization,1,1,0
" -- magento/module-backend",,1,0

magento/module-customer,21,19,2
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-newsletter",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-review",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-config",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-cookie",,0,1
" -- magento/module-customer-sample-data",,0,1

magento/module-backend,16,15,1
" -- magento/module-store",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-developer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-user",,1,0
" -- magento/module-security",,1,0
" -- magento/module-backup",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-translation",,1,0
" -- magento/module-require-js",,1,0
" -- magento/module-config",,1,0
" -- magento/module-theme",,0,1

magento/module-bundle,18,15,3
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-config",,1,0
" -- magento/module-gift-message",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-webapi",,0,1
" -- magento/module-bundle-sample-data",,0,1
" -- magento/module-sales-rule",,0,1

magento/module-sales,25,24,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-bundle",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-sales-sequence",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-gift-message",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales-sample-data",,0,1

magento/module-catalog-inventory,8,8,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-sales",,1,0

magento/module-indexer,1,1,0
" -- magento/module-backend",,1,0

magento/module-catalog,26,23,3
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-indexer",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-product-alert",,1,0
" -- magento/module-url-rewrite",,1,0
" -- magento/module-catalog-url-rewrite",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-cookie",,0,1
" -- magento/module-sales",,0,1
" -- magento/module-catalog-sample-data",,0,1

magento/module-cms,10,9,1
" -- magento/module-store",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-email",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-variable",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-cms-sample-data",,0,1

magento/module-email,7,6,1
" -- magento/module-theme",,1,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-variable",,1,0
" -- magento/module-theme",,0,1

magento/module-config,7,7,0
" -- magento/module-store",,1,0
" -- magento/module-cron",,1,0
" -- magento/module-email",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-deploy",,1,0

magento/module-directory,3,3,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0

magento/module-store,6,5,1
" -- magento/module-catalog",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-deploy",,0,1

magento/module-media-storage,3,3,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-config",,1,0

magento/module-eav,5,5,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0

magento/module-security,3,2,1
" -- magento/module-backend",,1,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,0,1

magento/module-integration,6,6,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-user",,1,0
" -- magento/module-security",,1,0
" -- magento/module-authorization",,1,0

magento/module-user,6,6,0
" -- magento/module-store",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-security",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-email",,1,0

magento/module-ui,5,4,1
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-user",,1,0
" -- magento/module-config",,0,1

magento/module-theme,14,10,4
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-require-js",,1,0
" -- magento/module-translation",,0,1
" -- magento/module-theme-sample-data",,0,1
" -- magento/module-deploy",,0,1
" -- magento/module-directory",,0,1

magento/module-rule,4,4,0
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-backend",,1,0

magento/module-variable,3,3,0
" -- magento/module-backend",,1,0
" -- magento/module-email",,1,0
" -- magento/module-store",,1,0

magento/module-widget,8,7,1
" -- magento/module-store",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-email",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-variable",,1,0
" -- magento/module-widget-sample-data",,0,1

magento/module-catalog-rule,9,7,2
" -- magento/module-store",,1,0
" -- magento/module-rule",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-import-export",,0,1
" -- magento/module-catalog-rule-sample-data",,0,1

magento/module-sales-rule,17,16,1
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-rule",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-sales-rule-sample-data",,0,1

magento/module-page-cache,3,3,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0

magento/module-checkout,18,17,1
" -- magento/module-store",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-cookie",,0,1

magento/module-downloadable,17,16,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-gift-message",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-downloadable-sample-data",,0,1

magento/module-rss,3,3,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0

magento/module-newsletter,8,8,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-email",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-require-js",,1,0

magento/module-wishlist,15,9,6
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-rss",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-configurable-product",,0,1
" -- magento/module-downloadable",,0,1
" -- magento/module-bundle",,0,1
" -- magento/module-cookie",,0,1
" -- magento/module-grouped-product",,0,1
" -- magento/module-wishlist-sample-data",,0,1

magento/module-review,10,8,2
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-newsletter",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-cookie",,0,1
" -- magento/module-review-sample-data",,0,1

magento/module-reports,16,16,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-review",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-downloadable",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-quote",,1,0

magento/module-tax,14,13,1
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-tax-sample-data",,0,1

magento/module-quote,15,14,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-sales-sequence",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-webapi",,0,1

magento/module-payment,6,6,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-directory",,1,0

magento/module-import-export,5,5,0
" -- magento/module-catalog",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-media-storage",,1,0

magento/module-contact,4,4,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-cms",,1,0

magento/module-shipping,16,13,3
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-contact",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-user",,1,0
" -- magento/module-fedex",,0,1
" -- magento/module-ups",,0,1
" -- magento/module-config",,0,1

magento/module-vault,6,6,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-quote",,1,0

magento/module-catalog-import-export,9,9,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-url-rewrite",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-customer",,1,0

magento/module-msrp,8,6,2
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-downloadable",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-grouped-product",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-bundle",,0,1
" -- magento/module-msrp-sample-data",,0,1

magento/module-instant-purchase,7,7,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-vault",,1,0

magento/module-developer,2,2,0
" -- magento/module-store",,1,0
" -- magento/module-config",,1,0

magento/module-paypal,17,16,1
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-vault",,1,0
" -- magento/module-instant-purchase",,1,0
" -- magento/module-checkout-agreements",,0,1

magento/module-catalog-url-rewrite,8,8,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-import-export",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-store",,1,0
" -- magento/module-url-rewrite",,1,0
" -- magento/module-ui",,1,0

magento/module-configurable-product,16,11,5
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-webapi",,0,1
" -- magento/module-sales",,0,1
" -- magento/module-product-video",,0,1
" -- magento/module-configurable-sample-data",,0,1
" -- magento/module-product-links-sample-data",,0,1

magento/module-cron,2,1,1
" -- magento/module-store",,1,0
" -- magento/module-config",,0,1

amzn/amazon-pay-and-login-with-amazon-core-module,10,10,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-developer",,1,0
" -- magento/module-quote",,1,0
